position,person,personID,start,gender,DOB,DOD,image,enwiki
Governor-General,David Hurley,Q5235277,2019-07-01,male,1953-08-26,,David Hurley official photo (cropped).jpg,David Hurley
Prime Minister,Anthony Albanese,Q335697,2022-05-23,male,1963-03-02,,Anthony Albanese portrait.jpg,Anthony Albanese
Deputy Prime Minister,Richard Marles,Q7327642,2022-05-23,male,1967-07-13,,Richard Marles.jpg,Richard Marles
Minister for Aged Care,Anika Wells,Q64205577,2022-05-23,female,1985-08-11,,,Anika Wells
Minister for Agriculture and Northern Australia,Murray Watt,Q6939517,2022-05-23,male,1973-01-20,,,Murray Watt
Minister for the Arts,Tony Burke,Q1449483,2022-05-23,male,1969-11-04,,Tony Burke Portrait 2008.jpg,Tony Burke
Minister for Climate Change and Energy Efficiency,Chris Bowen,Q1077015,2022-05-23,male,1973-01-17,,Chris Bowen 2016.jpg,Chris Bowen
"Minister for Communications, Urban Infrastructure, Cities and the Arts",Michelle Rowland,Q6837228,2022-05-23,female,1971-11-16,,Michelle Rowland 2012 (cropped).jpg,Michelle Rowland
Minister for Cybersecurity,Clare O'Neil,Q5126228,2022-05-23,female,1980-09-12,,,Clare O'Neil
Minister for Defence,Richard Marles,Q7327642,2022-06-01,male,1967-07-13,,Richard Marles.jpg,Richard Marles
Minister for Defence Materiel,Pat Conroy,Q16218414,2022-05-23,male,1979-05-10,,Pat Conroy 2016.jpg,Pat Conroy (politician)
Minister for Defence Science and Personnel,Matt Keogh,Q25752522,2022-05-23,male,1981-11-11,,,Matt Keogh
Minister for Early Childhood Education,Anne Aly,Q20631311,2022-05-23,female,1967-03-29,,Anne Aly MP.jpg,Anne Aly
Minister for Education,Jason Clare,Q6162219,2022-05-23,male,1972-03-22,,"Jason Clare, Beenleigh PCYC, August 2013 (cropped).jpg",Jason Clare
Minister for Emergency Management and National Recovery and Resilience,Murray Watt,Q6939517,2022-05-23,male,1973-01-20,,,Murray Watt
Minister for Employment and Workplace Relations,Tony Burke,Q1449483,2022-05-23,male,1969-11-04,,Tony Burke Portrait 2008.jpg,Tony Burke
Minister for the Environment,Tanya Plibersek,Q7684036,2022-05-23,female,1969-12-02,,Tanya Plibersek 2013 (cropped).jpg,Tanya Plibersek
Minister for Finance,Katy Gallagher,Q463507,2022-05-23,male,1970-03-17,,Katy Gallagher.jpg,Katy Gallagher
Minister for Financial Services,Stephen Jones,Q7609616,2022-05-23,male,1965-06-29,,172 Stephen Jones MP at a health forum in Cleveland Queensland 10 June 2016.jpg,Stephen Jones (Australian politician)
Minister for Foreign Affairs,Penny Wong,Q456759,2022-05-23,female,1968-11-05,,Penny Wong June 2015.jpg,Penny Wong
Minister for Health,Mark Butler,Q6766947,2022-05-23,male,1970-07-08,,Mark Butler July 2013.jpg,Mark Butler
Minister for Home Affairs,Clare O'Neil,Q5126228,2022-06-01,female,1980-09-12,,,Clare O'Neil
"Minister for Homelessness, Social and Community Housing",Julie Collins,Q6308091,2022-05-23,female,1971-07-03,,Julie Collins MP 2012.jpg,Julie Collins
Minister for Housing,Julie Collins,Q6308091,2022-05-23,female,1971-07-03,,Julie Collins MP 2012.jpg,Julie Collins
Minister for Human Services,Bill Shorten,Q4910865,2022-05-23,male,1967-05-12,,Bill Shorten.jpg,Bill Shorten
Minister for Immigration and Border Protection,Andrew Giles,Q16214422,2022-05-23,male,1973-07-31,,Andrew Giles.jpg,Andrew Giles
Minister for Indigenous Affairs,Linda Burney,Q6551428,2022-05-23,female,1957-04-25,,Linda Burney MP.jpg,Linda Burney
Minister for Industry and Innovation,Ed Husic,Q5334974,2022-05-23,male,1970-02-03,,,Ed Husic
Minister for Infrastructure and Transport,Catherine King,Q5052776,2022-05-23,female,1966-06-02,,Catherine King Headshot.JPG,Catherine King (politician)
Minister for International Development and the Pacific,Pat Conroy,Q16218414,2022-05-23,male,1979-05-10,,Pat Conroy 2016.jpg,Pat Conroy (politician)
Minister for the National Disability Insurance Scheme,Bill Shorten,Q4910865,2022-05-23,male,1967-05-12,,Bill Shorten.jpg,Bill Shorten
Minister for Northern Australia,Madeleine King,Q25756137,2022-05-23,female,1973-03-31,,Gary Gray .jpg,Madeleine King
Minister for the Public Service,Katy Gallagher,Q463507,2022-05-23,male,1970-03-17,,Katy Gallagher.jpg,Katy Gallagher
"Minister for Regional Development, Local Government and Territories",Kristy McBain,Q96970848,2022-05-23,female,1982-09-29,,,Kristy McBain
Minister for Resources and Water,Madeleine King,Q25756137,2022-05-23,female,1973-03-31,,Gary Gray .jpg,Madeleine King
Minister for Skills and Training,Brendan O'Connor,Q4961047,2022-05-23,male,1962-03-02,,Brendan O'Connor MP 2011.jpg,Brendan O'Connor (politician)
Minister for Small Business,Julie Collins,Q6308091,2022-05-23,female,1971-07-03,,Julie Collins MP 2012.jpg,Julie Collins
Minister for Social Services,Amanda Rishworth,Q4739745,2022-05-23,female,1978-07-10,,Amanda Rishworth.jpg,Amanda Rishworth
Minister for Sport,Anika Wells,Q64205577,2022-05-23,female,1985-08-11,,,Anika Wells
Minister for Trade,Don Farrell,Q5292594,2022-05-23,male,1954-06-06,,Don Farrell.jpg,Don Farrell
Minister for Veterans' Affairs,Matt Keogh,Q25752522,2022-05-23,male,1981-11-11,,,Matt Keogh
Minister for the Status of Women,Katy Gallagher,Q463507,2022-05-23,male,1970-03-17,,Katy Gallagher.jpg,Katy Gallagher
Minister for Youth,Anne Aly,Q20631311,2022-05-23,female,1967-03-29,,Anne Aly MP.jpg,Anne Aly
